_id,objectid,trail_id,trail_name,park_name_short,park_name,park_name_full,blaze_color_full,blaze_color_short,base_color,cap_color,dot_color,dash_color,image_link,mileage,track,track_num,difficulty,configuration,surface,service_road,globalid,trail_status,shape_length
35702,20507,SP13880,,SP,South Park,South Park,,,,,,,,0.00960761,,,,<Null>,,,{D5C5FD2B-D00C-4306-9B46-66D6886BE040},Active,0.000181031684235072
35703,20508,SP13862,,SP,South Park,South Park,,,,,,,,0.05766286,,,,<Null>,,,{D636163D-D25F-4BA6-877A-74AF0D4CE898},Active,0.000901459527720789
35704,20509,SP13863,,SP,South Park,South Park,,,,,,,,0.03506455,,,,<Null>,,,{0A21A20F-7710-4E1A-9462-4210FA91A2CE},Active,0.000568851279806241
35705,20510,SP13246,,SP,South Park,South Park,,,,,,,,0.36745895,,,Moderate,<Null>,Dirt,,{F79209E0-E9B2-417F-B060-D7ED5CA76A37},Active,0.00600923275569914
35706,20511,SP13816,,SP,South Park,South Park,,,,,,,,0.16002342,,,,<Null>,,,{75165EA3-7A8F-4A2B-B609-F911A016B093},Active,0.00245072949519826
35707,20512,SP13821,,SP,South Park,South Park,,,,,,,,0.04461683,,,,<Null>,,,{68C9DEF4-377E-4AF1-9FD6-D323283E4CF2},Active,0.000732547642046664
35708,20513,SP13251, ,SP,South Park,South Park,,,,,,,,0.02551706,,,Difficult,<Null>,Dirt,,{AF851A87-48C6-4BA6-8D2E-68078D28905E},Active,0.000409702749697675
35709,20514,SP445, ,SP,South Park,South Park,,,,,,,,0.17094028,,,Easy-Moderate,<Null>,,,{5419E6DD-7165-4325-81FB-FDC0DBA2AF10},Active,0.00262257495364223
35710,20515,SP25709,Gravel or Paved Trail/Road - Decommissioned,SP,South Park,South Park,<Null>,<Null>,,,,,<Null>,0.14650557,,,Easy,<Null>,Crushed Limestone,Yes,{E61D8AAF-AD5C-45D7-97B1-019DDC60E390},Closed,0.00241131863239962
35711,20516,SP25710,,SP,South Park,South Park,,,,,,,,0.06914658,,,Easy-Moderate,<Null>,Dirt,,{CF452037-31DA-4C16-9A13-FBC4D3B2A2C5},Active,0.00107168481637342
